Starting tests...
acl_userdir(_alpha0, r, r, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, rwx, rw, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, rw, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, rw, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, rw, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, rw, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, rw, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, rw, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, rw, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, rx, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rx, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rx, r) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rw, rx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, rx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, rx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, rx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, rx, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rx, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rx, w) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, rx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, rx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, rx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, rx, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rx, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rx, x) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, rx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, rwx, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rwx, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rwx, r) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rw, rwx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rwx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, rwx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rwx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rwx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, rwx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rwx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, rwx, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rwx, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rwx, w) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, rwx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, rwx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rwx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rwx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, rwx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, rwx, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, rwx, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, rwx, x) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, rwx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, w, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, w, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, w, r) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rw, w, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, w, rw) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, w, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, w, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, w, rx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, w, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, w, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, w, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, w, rwx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, w, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, w, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, w, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, w, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, w, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, w, wx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, w, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, w, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, w, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, w, x) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rw, w, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, wx, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, wx, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, wx, r) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rw, wx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, wx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, wx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, wx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, wx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, wx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, wx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, wx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, wx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, wx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, wx, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, wx, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, wx, w) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, wx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, wx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, wx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, wx, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, wx, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, wx, x) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rw, wx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, x, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, x, r) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, x, r) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rw, x, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, x, rw) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, x, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, x, rx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, x, rx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, x, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rw, x, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, x, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, x, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, x, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, x, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, x, w) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, x, w) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, x, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rw, x, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, x, wx) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, x, wx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, x, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rw, x, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rw, x, x) -> (0, 0, 1) OK
acl_userdir(_alpha2, rwx, rw, x, x) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rw, x, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, r, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, r, r) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha3, rwx, rx, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rx, r, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, r, rw) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, r, rw) -> (0, 1, 1) OK
acl_userdir(_alpha3, rwx, rx, r, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, r, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, r, rx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, r, rx) -> (0, 1, 1) OK
acl_userdir(_alpha3, rwx, rx, r, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, r, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, r, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, r, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha3, rwx, rx, r, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, r, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, r, w) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, r, w) -> (0, 1, 1) OK
acl_userdir(_alpha3, rwx, rx, r, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, r, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, r, wx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, r, wx) -> (0, 1, 1) OK
acl_userdir(_alpha3, rwx, rx, r, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, r, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, r, x) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, r, x) -> (0, 1, 1) OK
acl_userdir(_alpha3, rwx, rx, r, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, rw, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rw, r) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rw, r) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, rw, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rx, rw, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rw, rw) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, rw, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rw, rx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rw, rx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, rw, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, rw, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rw, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, rw, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, rw, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rw, w) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, rw, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, rw, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rw, wx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, rw, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, rw, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rw, x) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, rw, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, rx, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rx, r) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rx, r) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rx, rx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, rx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, rx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, rx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, rx, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rx, w) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rx, w) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, rx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, rx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, rx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, rx, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rx, x) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rx, x) -> (0, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, rx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, rwx, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rwx, r) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rwx, r) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rx, rwx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rwx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rwx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, rwx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rwx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rwx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, rwx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rwx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, rwx, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rwx, w) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rwx, w) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, rwx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, rwx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rwx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rwx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, rwx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, rwx, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, rwx, x) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, rwx, x) -> (0, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, rwx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, w, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, w, r) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, w, r) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rx, w, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, w, rw) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, w, rw) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, w, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, w, rx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, w, rx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, w, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, w, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, w, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, w, rwx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, w, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, w, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, w, w) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, w, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, w, wx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, w, wx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, w, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, w, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, w, x) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, w, x) -> (1, 0, 1) OK
acl_userdir(_alpha3, rwx, rx, w, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, wx, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, wx, r) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, wx, r) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rx, wx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, wx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, wx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, wx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, wx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, wx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, wx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, wx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, wx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, wx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, wx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, wx, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, wx, w) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, wx, w) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, wx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, wx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, wx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, wx, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, wx, x) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, wx, x) -> (1, 0, 0) OK
acl_userdir(_alpha3, rwx, rx, wx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, x, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, x, r) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, x, r) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rwx, rx, x, rw) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, x, rw) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, x, rw) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, x, rx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, x, rx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, x, rx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, x, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rwx, rx, x, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, x, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, x, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, x, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, x, w) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, x, w) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, x, w) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, x, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rwx, rx, x, wx) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, x, wx) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, x, wx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, x, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rwx, rx, x, x) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rx, x, x) -> (0, 1, 0) OK
acl_userdir(_alpha2, rwx, rx, x, x) -> (1, 1, 0) OK
acl_userdir(_alpha3, rwx, rx, x, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rwx, rwx, r, r) -> (0, 0, 0) OK
acl_userdir(_alpha1, rwx, rwx, r, r) -> (0, 0, 0) OK
