Starting tests...
acl_groupfile(_alpha0, _beta0, _gamma0, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, w, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, w, rx) -> (1, 0, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, w, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, w, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, w, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, w, rwx) -> (1, 0, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, w, w) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, w, w) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, w, w) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, w, w) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, w, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, w, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, w, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, w, wx) -> (1, 0, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, w, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, w, x) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, w, x) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, w, x) -> (1, 0, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma1, w, r) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, w, r) -> (0, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, w, r) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, w, r) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, w, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, w, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, w, rw) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, w, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, w, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, w, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, w, rx) -> (1, 0, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, w, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, w, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, w, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, w, rwx) -> (1, 0, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, w, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, w, w) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, w, w) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, w, w) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, w, w) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, w, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, w, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, w, wx) -> (1, 0, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, w, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, w, x) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, w, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, w, x) -> (1, 0, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, w, x) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, wx, r) -> (0, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, wx, r) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, wx, r) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, wx, r) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, wx, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, wx, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, wx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, wx, rw) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, wx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, wx, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, wx, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, wx, rx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, wx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, wx, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, wx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, wx, rwx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, wx, w) -> (1, 0, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, wx, w) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, wx, w) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, wx, w) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, wx, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, wx, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, wx, x) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, wx, x) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, wx, x) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, wx, r) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, wx, r) -> (0, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, wx, r) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, wx, r) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, wx, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, wx, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, wx, rw) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, wx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, wx, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, wx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, wx, rx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, wx, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, wx, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, wx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, wx, rwx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, wx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, wx, w) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, wx, w) -> (1, 0, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, wx, w) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, wx, w) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, wx, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, wx, x) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, wx, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, wx, x) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, wx, x) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, x, r) -> (0, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, x, r) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, x, r) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, x, r) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, x, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, x, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, x, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, x, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, x, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, x, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, x, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, x, rx) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, x, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, x, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, x, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, x, rwx) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, x, w) -> (1, 0, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, x, w) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, x, w) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, x, w) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, x, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, x, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, x, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, x, wx) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, x, x) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, x, r) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, x, r) -> (0, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, x, r) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, x, r) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, x, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, x, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, x, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, x, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, x, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, x, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, x, rx) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, x, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, x, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, x, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, x, rwx) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, x, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, x, w) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, x, w) -> (1, 0, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, x, w) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, x, w) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, x, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, x, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, x, wx) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, x, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, x, x) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, x, x) -> (1, 1, 1) OK
784 tests run, 0 failed
